season,week,teamOwner,teamName,teamWeekTotal,teamWeekRank,teamRecordPre,teamMatchupResult,teamRecordPost,teamOwnerOpponent,teamNameOpponent,teamWeekTotalOpponent,teamWeekRankOpponent,teamRecordPreOpponent,teamRecordPostOpponent
2020,6,Aaron,Ryan Leaf's Ghost,64.92,12,0-5-0,Loss,0-6-0,Kameron,Drunken Monkeys,71.6,10,4-1-0,5-1-0
2020,6,Alex,FERDA PUPPERS,164.51,1,4-1-0,Win,5-1-0,Rob,Shakin Bacon,106.04,4,1-4-0,1-5-0
2020,6,dan,Tarin Holez,68.41,11,3-2-0,Loss,3-3-0,AJ,Kamala-ver Muhfingas,94.57,7,2-3-0,3-3-0
2020,6,Mike,Mr Pig Skinner,89.55,9,3-2-0,Loss,3-3-0,Mike,COVIC-TORY,93.64,8,3-2-0,4-2-0
2020,6,Matthew,Turf Muncher,95.43,6,3-2-0,Loss,3-3-0,Colin,Im a scientist,128.94,3,5-0-0,6-0-0
2020,6,Sam,Highly Questionable,102.04,5,1-4-0,Loss,1-5-0,Brian,DaHazzelhoffs,129.22,2,1-4-0,2-4-0
2020,6,Kameron,Drunken Monkeys,71.6,10,4-1-0,Win,5-1-0,Aaron,Ryan Leaf's Ghost,64.92,12,0-5-0,0-6-0
2020,7,Kameron,Drunken Monkeys,83.92,11,5-1-0,Loss,5-2-0,Rob,Shakin Bacon,102.74,6,1-5-0,2-5-0
2020,7,Mike,COVIC-TORY,114.4,4,4-2-0,Win,5-2-0,AJ,Kamala-ver Muhfingas,102.56,7,3-3-0,3-4-0
2020,7,dan,Tarin Holez,131.12,2,3-3-0,Win,4-3-0,Matthew,Turf Muncher,115.1,3,3-3-0,3-4-0
2020,7,Brian,DaHazzelhoffs,111.3,5,2-4-0,Win,3-4-0,Mike,Mr Pig Skinner,97.7,8,3-3-0,3-4-0
2020,7,Sam,Highly Questionable,97.02,9,1-5-0,Loss,1-6-0,Aaron,Ryan Leaf's Ghost,138.26,1,0-6-0,1-6-0
2020,7,Colin,Im a scientist,92.82,10,6-0-0,Win,7-0-0,Alex,FERDA PUPPERS,74.28,12,5-1-0,5-2-0
2020,7,Rob,Shakin Bacon,102.74,6,1-5-0,Win,2-5-0,Kameron,Drunken Monkeys,83.92,11,5-1-0,5-2-0
2020,7,AJ,Kamala-ver Muhfingas,102.56,7,3-3-0,Loss,3-4-0,Mike,COVIC-TORY,114.4,4,4-2-0,5-2-0
2020,7,Matthew,Turf Muncher,115.1,3,3-3-0,Loss,3-4-0,dan,Tarin Holez,131.12,2,3-3-0,4-3-0
2020,7,Mike,Mr Pig Skinner,97.7,8,3-3-0,Loss,3-4-0,Brian,DaHazzelhoffs,111.3,5,2-4-0,3-4-0
2020,7,Aaron,Ryan Leaf's Ghost,138.26,1,0-6-0,Win,1-6-0,Sam,Highly Questionable,97.02,9,1-5-0,1-6-0
2020,7,Alex,FERDA PUPPERS,74.28,12,5-1-0,Loss,5-2-0,Colin,Im a scientist,92.82,10,6-0-0,7-0-0
2020,8,AJ,Kamala-ver Muhfingas,62.31,12,3-4-0,Loss,3-5-0,Alex,FERDA PUPPERS,114.16,3,5-2-0,6-2-0
2020,8,Colin,Im a scientist,92.02,8,7-0-0,Loss,7-1-0,dan,Tarin Holez,136.74,2,4-3-0,5-3-0
2020,8,Aaron,Ryan Leaf's Ghost,69.63,11,1-6-0,Loss,1-7-0,Matthew,Turf Muncher,147.54,1,3-4-0,4-4-0
2020,8,Mike,Mr Pig Skinner,113.24,4,3-4-0,Win,4-4-0,Kameron,Drunken Monkeys,97.54,6,5-2-0,5-3-0
2020,8,Mike,COVIC-TORY,75.12,10,5-2-0,Loss,5-3-0,Sam,Highly Questionable,94.46,7,1-6-0,2-6-0
2020,8,Rob,Shakin Bacon,103.25,5,2-5-0,Win,3-5-0,Brian,DaHazzelhoffs,80.9,9,3-4-0,3-5-0
2020,8,Alex,FERDA PUPPERS,114.16,3,5-2-0,Win,6-2-0,AJ,Kamala-ver Muhfingas,62.31,12,3-4-0,3-5-0
2020,8,dan,Tarin Holez,136.74,2,4-3-0,Win,5-3-0,Colin,Im a scientist,92.02,8,7-0-0,7-1-0
2020,8,Matthew,Turf Muncher,147.54,1,3-4-0,Win,4-4-0,Aaron,Ryan Leaf's Ghost,69.63,11,1-6-0,1-7-0
2020,8,Kameron,Drunken Monkeys,97.54,6,5-2-0,Loss,5-3-0,Mike,Mr Pig Skinner,113.24,4,3-4-0,4-4-0
2020,8,Sam,Highly Questionable,94.46,7,1-6-0,Win,2-6-0,Mike,COVIC-TORY,75.12,10,5-2-0,5-3-0
2020,8,Brian,DaHazzelhoffs,80.9,9,3-4-0,Loss,3-5-0,Rob,Shakin Bacon,103.25,5,2-5-0,3-5-0
2020,9,Alex,FERDA PUPPERS,122.9,1,6-2-0,Win,7-2-0,Mike,COVIC-TORY,100.62,7,5-3-0,5-4-0
2020,9,Aaron,Ryan Leaf's Ghost,84.73,10,1-7-0,Win,2-7-0,Rob,Shakin Bacon,77.8,12,3-5-0,3-6-0
2020,9,Colin,Im a scientist,119.94,2,7-1-0,Win,8-1-0,Brian,DaHazzelhoffs,108.02,4,3-5-0,3-6-0
2020,9,Kameron,Drunken Monkeys,101.97,5,5-3-0,Win,6-3-0,AJ,Kamala-ver Muhfingas,80.64,11,3-5-0,3-6-0
