season,week,teamOwner,teamName,teamWeekTotal,teamWeekRank,teamRecordPre,teamMatchupResult,teamRecordPost,teamOwnerOpponent,teamNameOpponent,teamWeekTotalOpponent,teamWeekRankOpponent,teamRecordPreOpponent,teamRecordPostOpponent
2011,2,Aaron,I Cursed AJ Crane,111.56,5,0-1-0,Loss,0-2-0,Mike,CoachSezItNorml2BleedOutYaEars,177.62,1,0-1-0,1-1-0
2011,2,Mike,Mr Pig Skinner,96.12,10,0-1-0,Loss,0-2-0,Rob,Mansleezy,121.25,3,0-1-0,1-1-0
2011,2,Matt,Mongorians,138.5,2,1-0-0,Win,2-0-0,Colin,Im a scientist,117.12,4,0-1-0,0-2-0
2011,2,Jason,Clickety Clow,82.88,12,1-0-0,Loss,1-1-0,nathan,ol-erth panda slayers,110.32,6,1-0-0,2-0-0
2011,2,AJ,Winning,95.7,11,0-1-0,Loss,0-2-0,Kameron,Drunken Monkeys,97.3,9,1-0-0,2-0-0
2011,2,Matthew,Turf Muncher,97.92,8,1-0-0,Loss,1-1-0,dan,DR Philthy,103.65,7,1-0-0,2-0-0
2011,2,Mike,CoachSezItNorml2BleedOutYaEars,177.62,1,0-1-0,Win,1-1-0,Aaron,I Cursed AJ Crane,111.56,5,0-1-0,0-2-0
2011,2,Rob,Mansleezy,121.25,3,0-1-0,Win,1-1-0,Mike,Mr Pig Skinner,96.12,10,0-1-0,0-2-0
2011,2,Colin,Im a scientist,117.12,4,0-1-0,Loss,0-2-0,Matt,Mongorians,138.5,2,1-0-0,2-0-0
2011,2,nathan,ol-erth panda slayers,110.32,6,1-0-0,Win,2-0-0,Jason,Clickety Clow,82.88,12,1-0-0,1-1-0
2011,3,AJ,Winning,74.4,10,0-2-0,Loss,0-3-0,Matthew,Turf Muncher,99.1,8,1-1-0,2-1-0
2011,3,Mike,CoachSezItNorml2BleedOutYaEars,112.88,4,1-1-0,Loss,1-2-0,Kameron,Drunken Monkeys,118.29,3,2-0-0,3-0-0
2011,3,Rob,Mansleezy,71.02,11,1-1-0,Loss,1-2-0,dan,DR Philthy,126.26,2,2-0-0,3-0-0
2011,3,Colin,Im a scientist,102.06,7,0-2-0,Loss,0-3-0,Aaron,I Cursed AJ Crane,112.32,5,0-2-0,1-2-0
2011,3,nathan,ol-erth panda slayers,104.38,6,2-0-0,Win,3-0-0,Mike,Mr Pig Skinner,56.24,12,0-2-0,0-3-0
2011,3,Jason,Clickety Clow,94.67,9,1-1-0,Loss,1-2-0,Matt,Mongorians,130.7,1,2-0-0,3-0-0
2011,3,Matthew,Turf Muncher,99.1,8,1-1-0,Win,2-1-0,AJ,Winning,74.4,10,0-2-0,0-3-0
2011,3,Kameron,Drunken Monkeys,118.29,3,2-0-0,Win,3-0-0,Mike,CoachSezItNorml2BleedOutYaEars,112.88,4,1-1-0,1-2-0
2011,3,dan,DR Philthy,126.26,2,2-0-0,Win,3-0-0,Rob,Mansleezy,71.02,11,1-1-0,1-2-0
2011,3,Aaron,I Cursed AJ Crane,112.32,5,0-2-0,Win,1-2-0,Colin,Im a scientist,102.06,7,0-2-0,0-3-0
2011,3,Mike,Mr Pig Skinner,56.24,12,0-2-0,Loss,0-3-0,nathan,ol-erth panda slayers,104.38,6,2-0-0,3-0-0
2011,3,Matt,Mongorians,130.7,1,2-0-0,Win,3-0-0,Jason,Clickety Clow,94.67,9,1-1-0,1-2-0
2011,4,Mike,CoachSezItNorml2BleedOutYaEars,118.04,3,1-2-0,Win,2-2-0,AJ,Winning,101.17,10,0-3-0,0-4-0
2011,4,Matthew,Turf Muncher,104.18,8,2-1-0,Loss,2-2-0,Rob,Mansleezy,112.71,5,1-2-0,2-2-0
2011,4,Kameron,Drunken Monkeys,108.85,6,3-0-0,Win,4-0-0,Colin,Im a scientist,86.96,12,0-3-0,0-4-0
2011,4,dan,DR Philthy,100.53,11,3-0-0,Loss,3-1-0,nathan,ol-erth panda slayers,120.92,2,3-0-0,4-0-0
2011,4,Aaron,I Cursed AJ Crane,115.1,4,1-2-0,Win,2-2-0,Jason,Clickety Clow,102.41,9,1-2-0,1-3-0
2011,4,Mike,Mr Pig Skinner,123.78,1,0-3-0,Win,1-3-0,Matt,Mongorians,106.94,7,3-0-0,3-1-0
2011,4,AJ,Winning,101.17,10,0-3-0,Loss,0-4-0,Mike,CoachSezItNorml2BleedOutYaEars,118.04,3,1-2-0,2-2-0
2011,4,Rob,Mansleezy,112.71,5,1-2-0,Win,2-2-0,Matthew,Turf Muncher,104.18,8,2-1-0,2-2-0
2011,4,Colin,Im a scientist,86.96,12,0-3-0,Loss,0-4-0,Kameron,Drunken Monkeys,108.85,6,3-0-0,4-0-0
2011,4,nathan,ol-erth panda slayers,120.92,2,3-0-0,Win,4-0-0,dan,DR Philthy,100.53,11,3-0-0,3-1-0
2011,4,Jason,Clickety Clow,102.41,9,1-2-0,Loss,1-3-0,Aaron,I Cursed AJ Crane,115.1,4,1-2-0,2-2-0
2011,4,Matt,Mongorians,106.94,7,3-0-0,Loss,3-1-0,Mike,Mr Pig Skinner,123.78,1,0-3-0,1-3-0
2011,5,AJ,Winning,103.61,6,0-4-0,Loss,0-5-0,Rob,Mansleezy,120.43,2,2-2-0,3-2-0
2011,5,Colin,Im a scientist,112.02,3,0-4-0,Win,1-4-0,Mike,CoachSezItNorml2BleedOutYaEars,101.04,7,2-2-0,2-3-0
2011,5,nathan,ol-erth panda slayers,132.84,1,4-0-0,Win,5-0-0,Matthew,Turf Muncher,76.68,12,2-2-0,2-3-0
2011,5,Jason,Clickety Clow,83.4,11,1-3-0,Loss,1-4-0,Kameron,Drunken Monkeys,95.51,8,4-0-0,5-0-0
2011,5,Matt,Mongorians,108.89,4,3-1-0,Win,4-1-0,dan,DR Philthy,94.64,9,3-1-0,3-2-0
2011,5,Mike,Mr Pig Skinner,108.5,5,1-3-0,Win,2-3-0,Aaron,I Cursed AJ Crane,92.76,10,2-2-0,2-3-0
2011,5,Rob,Mansleezy,120.43,2,2-2-0,Win,3-2-0,AJ,Winning,103.61,6,0-4-0,0-5-0
2011,5,Mike,CoachSezItNorml2BleedOutYaEars,101.04,7,2-2-0,Loss,2-3-0,Colin,Im a scientist,112.02,3,0-4-0,1-4-0
2011,5,Matthew,Turf Muncher,76.68,12,2-2-0,Loss,2-3-0,nathan,ol-erth panda slayers,132.84,1,4-0-0,5-0-0
2011,5,Kameron,Drunken Monkeys,95.51,8,4-0-0,Win,5-0-0,Jason,Clickety Clow,83.4,11,1-3-0,1-4-0
2011,5,dan,DR Philthy,94.64,9,3-1-0,Loss,3-2-0,Matt,Mongorians,108.89,4,3-1-0,4-1-0
2011,5,Aaron,I Cursed AJ Crane,92.76,10,2-2-0,Loss,2-3-0,Mike,Mr Pig Skinner,108.5,5,1-3-0,2-3-0
2011,6,Colin,Im a scientist,118.36,1,1-4-0,Win,2-4-0,AJ,Winning,95.28,7,0-5-0,0-6-0
2011,6,Rob,Mansleezy,111.91,2,3-2-0,Win,4-2-0,nathan,ol-erth panda slayers,90.44,9,5-0-0,5-1-0
2011,6,Mike,CoachSezItNorml2BleedOutYaEars,91.96,8,2-3-0,Win,3-3-0,Jason,Clickety Clow,87.28,10,1-4-0,1-5-0
2011,6,Matthew,Turf Muncher,78.35,12,2-3-0,Loss,2-4-0,Matt,Mongorians,111.79,3,4-1-0,5-1-0
2011,6,Kameron,Drunken Monkeys,78.97,11,5-0-0,Loss,5-1-0,Mike,Mr Pig Skinner,108.61,4,2-3-0,3-3-0
2011,6,dan,DR Philthy,104.6,6,3-2-0,Loss,3-3-0,Aaron,I Cursed AJ Crane,107.32,5,2-3-0,3-3-0
2011,6,AJ,Winning,95.28,7,0-5-0,Loss,0-6-0,Colin,Im a scientist,118.36,1,1-4-0,2-4-0
2011,6,nathan,ol-erth panda slayers,90.44,9,5-0-0,Loss,5-1-0,Rob,Mansleezy,111.91,2,3-2-0,4-2-0
2011,6,Jason,Clickety Clow,87.28,10,1-4-0,Loss,1-5-0,Mike,CoachSezItNorml2BleedOutYaEars,91.96,8,2-3-0,3-3-0
2011,6,Matt,Mongorians,111.79,3,4-1-0,Win,5-1-0,Matthew,Turf Muncher,78.35,12,2-3-0,2-4-0
2011,6,Mike,Mr Pig Skinner,108.61,4,2-3-0,Win,3-3-0,Kameron,Drunken Monkeys,78.97,11,5-0-0,5-1-0
2011,6,Aaron,I Cursed AJ Crane,107.32,5,2-3-0,Win,3-3-0,dan,DR Philthy,104.6,6,3-2-0,3-3-0
2011,7,AJ,Winning,138.24,1,0-6-0,Win,1-6-0,nathan,ol-erth panda slayers,100.6,3,5-1-0,5-2-0
2011,7,Jason,Clickety Clow,75.05,12,1-5-0,Loss,1-6-0,Colin,Im a scientist,77.64,10,2-4-0,3-4-0
2011,7,Matt,Mongorians,94.63,7,5-1-0,Loss,5-2-0,Rob,Mansleezy,98.87,4,4-2-0,5-2-0
2011,7,Mike,Mr Pig Skinner,85.63,9,3-3-0,Loss,3-4-0,Mike,CoachSezItNorml2BleedOutYaEars,92.46,8,3-3-0,4-3-0
2011,7,Aaron,I Cursed AJ Crane,97.72,6,3-3-0,Win,4-3-0,Matthew,Turf Muncher,77.33,11,2-4-0,2-5-0
2011,7,dan,DR Philthy,123.92,2,3-3-0,Win,4-3-0,Kameron,Drunken Monkeys,98.27,5,5-1-0,5-2-0
2011,7,nathan,ol-erth panda slayers,100.6,3,5-1-0,Loss,5-2-0,AJ,Winning,138.24,1,0-6-0,1-6-0
2011,7,Colin,Im a scientist,77.64,10,2-4-0,Win,3-4-0,Jason,Clickety Clow,75.05,12,1-5-0,1-6-0
2011,7,Rob,Mansleezy,98.87,4,4-2-0,Win,5-2-0,Matt,Mongorians,94.63,7,5-1-0,5-2-0
2011,7,Mike,CoachSezItNorml2BleedOutYaEars,92.46,8,3-3-0,Win,4-3-0,Mike,Mr Pig Skinner,85.63,9,3-3-0,3-4-0
2011,7,Matthew,Turf Muncher,77.33,11,2-4-0,Loss,2-5-0,Aaron,I Cursed AJ Crane,97.72,6,3-3-0,4-3-0
2011,7,Kameron,Drunken Monkeys,98.27,5,5-1-0,Loss,5-2-0,dan,DR Philthy,123.92,2,3-3-0,4-3-0
2011,8,Jason,Clickety Clow,122.76,1,1-6-0,Win,2-6-0,AJ,Winning,105.22,7,1-6-0,1-7-0
2011,8,nathan,ol-erth panda slayers,109.88,5,5-2-0,Win,6-2-0,Matt,Mongorians,72.13,11,5-2-0,5-3-0
2011,8,Colin,Im a scientist,110.83,4,3-4-0,Win,4-4-0,Mike,Mr Pig Skinner,79.56,10,3-4-0,3-5-0
2011,8,Rob,Mansleezy,115.03,3,5-2-0,Loss,5-3-0,Aaron,I Cursed AJ Crane,115.65,2,4-3-0,5-3-0
2011,8,Mike,CoachSezItNorml2BleedOutYaEars,63.72,12,4-3-0,Loss,4-4-0,dan,DR Philthy,99.11,8,4-3-0,5-3-0
2011,8,Matthew,Turf Muncher,107.26,6,2-5-0,Win,3-5-0,Kameron,Drunken Monkeys,97.07,9,5-2-0,5-3-0
2011,8,AJ,Winning,105.22,7,1-6-0,Loss,1-7-0,Jason,Clickety Clow,122.76,1,1-6-0,2-6-0
2011,8,Matt,Mongorians,72.13,11,5-2-0,Loss,5-3-0,nathan,ol-erth panda slayers,109.88,5,5-2-0,6-2-0
2011,8,Mike,Mr Pig Skinner,79.56,10,3-4-0,Loss,3-5-0,Colin,Im a scientist,110.83,4,3-4-0,4-4-0
2011,8,Aaron,I Cursed AJ Crane,115.65,2,4-3-0,Win,5-3-0,Rob,Mansleezy,115.03,3,5-2-0,5-3-0
2011,8,dan,DR Philthy,99.11,8,4-3-0,Win,5-3-0,Mike,CoachSezItNorml2BleedOutYaEars,63.72,12,4-3-0,4-4-0
2011,8,Kameron,Drunken Monkeys,97.07,9,5-2-0,Loss,5-3-0,Matthew,Turf Muncher,107.26,6,2-5-0,3-5-0
2011,9,AJ,Winning,130.06,2,1-7-0,Loss,1-8-0,Matt,Mongorians,137.79,1,5-3-0,6-3-0
2011,9,Mike,Mr Pig Skinner,109.37,4,3-5-0,Win,4-5-0,Jason,Clickety Clow,72.65,11,2-6-0,2-7-0
2011,9,Aaron,I Cursed AJ Crane,71.14,12,5-3-0,Loss,5-4-0,nathan,ol-erth panda slayers,105.45,6,6-2-0,7-2-0
2011,9,dan,DR Philthy,119.97,3,5-3-0,Win,6-3-0,Colin,Im a scientist,105.5,5,4-4-0,4-5-0
2011,9,Kameron,Drunken Monkeys,77.73,10,5-3-0,Loss,5-4-0,Rob,Mansleezy,95.77,7,5-3-0,6-3-0
2011,9,Matthew,Turf Muncher,81.14,9,3-5-0,Loss,3-6-0,Mike,CoachSezItNorml2BleedOutYaEars,86.68,8,4-4-0,5-4-0
2011,9,Matt,Mongorians,137.79,1,5-3-0,Win,6-3-0,AJ,Winning,130.06,2,1-7-0,1-8-0
2011,9,Jason,Clickety Clow,72.65,11,2-6-0,Loss,2-7-0,Mike,Mr Pig Skinner,109.37,4,3-5-0,4-5-0
2011,9,nathan,ol-erth panda slayers,105.45,6,6-2-0,Win,7-2-0,Aaron,I Cursed AJ Crane,71.14,12,5-3-0,5-4-0
2011,9,Colin,Im a scientist,105.5,5,4-4-0,Loss,4-5-0,dan,DR Philthy,119.97,3,5-3-0,6-3-0
2011,9,Rob,Mansleezy,95.77,7,5-3-0,Win,6-3-0,Kameron,Drunken Monkeys,77.73,10,5-3-0,5-4-0
2011,9,Mike,CoachSezItNorml2BleedOutYaEars,86.68,8,4-4-0,Win,5-4-0,Matthew,Turf Muncher,81.14,9,3-5-0,3-6-0
2011,10,Mike,Mr Pig Skinner,69.26,11,4-5-0,Loss,4-6-0,AJ,Winning,143.46,1,1-8-0,2-8-0
2011,10,Matt,Mongorians,115.98,2,6-3-0,Win,7-3-0,Aaron,I Cursed AJ Crane,74.3,9,5-4-0,5-5-0
2011,10,Jason,Clickety Clow,48.52,12,2-7-0,Loss,2-8-0,dan,DR Philthy,73.9,10,6-3-0,7-3-0
2011,10,nathan,ol-erth panda slayers,114.2,3,7-2-0,Win,8-2-0,Kameron,Drunken Monkeys,85.08,5,5-4-0,5-5-0
2011,10,Colin,Im a scientist,76.94,7,4-5-0,Loss,4-6-0,Matthew,Turf Muncher,78.37,6,3-6-0,4-6-0
2011,10,Rob,Mansleezy,74.91,8,6-3-0,Loss,6-4-0,Mike,CoachSezItNorml2BleedOutYaEars,105.16,4,5-4-0,6-4-0
2011,10,AJ,Winning,143.46,1,1-8-0,Win,2-8-0,Mike,Mr Pig Skinner,69.26,11,4-5-0,4-6-0
2011,10,Aaron,I Cursed AJ Crane,74.3,9,5-4-0,Loss,5-5-0,Matt,Mongorians,115.98,2,6-3-0,7-3-0
2011,10,dan,DR Philthy,73.9,10,6-3-0,Win,7-3-0,Jason,Clickety Clow,48.52,12,2-7-0,2-8-0
2011,10,Kameron,Drunken Monkeys,85.08,5,5-4-0,Loss,5-5-0,nathan,ol-erth panda slayers,114.2,3,7-2-0,8-2-0
2011,10,Matthew,Turf Muncher,78.37,6,3-6-0,Win,4-6-0,Colin,Im a scientist,76.94,7,4-5-0,4-6-0
2011,10,Mike,CoachSezItNorml2BleedOutYaEars,105.16,4,5-4-0,Win,6-4-0,Rob,Mansleezy,74.91,8,6-3-0,6-4-0
2011,11,AJ,Winning,87.08,7,2-8-0,Loss,2-9-0,Aaron,I Cursed AJ Crane,160.6,1,5-5-0,6-5-0
2011,11,dan,DR Philthy,67.5,11,7-3-0,Loss,7-4-0,Mike,Mr Pig Skinner,89.97,6,4-6-0,5-6-0
2011,11,Kameron,Drunken Monkeys,101.46,4,5-5-0,Loss,5-6-0,Matt,Mongorians,105.36,3,7-3-0,8-3-0
2011,11,Matthew,Turf Muncher,81.68,8,4-6-0,Win,5-6-0,Jason,Clickety Clow,61.57,12,2-8-0,2-9-0
2011,11,Mike,CoachSezItNorml2BleedOutYaEars,72.29,10,6-4-0,Loss,6-5-0,nathan,ol-erth panda slayers,94.26,5,8-2-0,9-2-0
2011,11,Rob,Mansleezy,112.33,2,6-4-0,Win,7-4-0,Colin,Im a scientist,76.29,9,4-6-0,4-7-0
2011,11,Aaron,I Cursed AJ Crane,160.6,1,5-5-0,Win,6-5-0,AJ,Winning,87.08,7,2-8-0,2-9-0
2011,11,Mike,Mr Pig Skinner,89.97,6,4-6-0,Win,5-6-0,dan,DR Philthy,67.5,11,7-3-0,7-4-0
2011,11,Matt,Mongorians,105.36,3,7-3-0,Win,8-3-0,Kameron,Drunken Monkeys,101.46,4,5-5-0,5-6-0
2011,11,Jason,Clickety Clow,61.57,12,2-8-0,Loss,2-9-0,Matthew,Turf Muncher,81.68,8,4-6-0,5-6-0
2011,11,nathan,ol-erth panda slayers,94.26,5,8-2-0,Win,9-2-0,Mike,CoachSezItNorml2BleedOutYaEars,72.29,10,6-4-0,6-5-0
2011,11,Colin,Im a scientist,76.29,9,4-6-0,Loss,4-7-0,Rob,Mansleezy,112.33,2,6-4-0,7-4-0
2011,12,dan,DR Philthy,119.84,3,7-4-0,Win,8-4-0,AJ,Winning,99.74,7,2-9-0,2-10-0
2011,12,Aaron,I Cursed AJ Crane,89.34,10,6-5-0,Loss,6-6-0,Kameron,Drunken Monkeys,139.5,1,5-6-0,6-6-0
2011,12,Mike,Mr Pig Skinner,88.85,11,5-6-0,Win,6-6-0,Matthew,Turf Muncher,84.06,12,5-6-0,5-7-0
2011,12,Matt,Mongorians,114.95,4,8-3-0,Loss,8-4-0,Mike,CoachSezItNorml2BleedOutYaEars,129.87,2,6-5-0,7-5-0
2011,12,Jason,Clickety Clow,103.02,6,2-9-0,Win,3-9-0,Rob,Mansleezy,96.29,8,7-4-0,7-5-0
2011,12,nathan,ol-erth panda slayers,93.48,9,9-2-0,Loss,9-3-0,Colin,Im a scientist,105.19,5,4-7-0,5-7-0
2011,12,AJ,Winning,99.74,7,2-9-0,Loss,2-10-0,dan,DR Philthy,119.84,3,7-4-0,8-4-0
2011,12,Kameron,Drunken Monkeys,139.5,1,5-6-0,Win,6-6-0,Aaron,I Cursed AJ Crane,89.34,10,6-5-0,6-6-0
2011,12,Matthew,Turf Muncher,84.06,12,5-6-0,Loss,5-7-0,Mike,Mr Pig Skinner,88.85,11,5-6-0,6-6-0
2011,12,Mike,CoachSezItNorml2BleedOutYaEars,129.87,2,6-5-0,Win,7-5-0,Matt,Mongorians,114.95,4,8-3-0,8-4-0
2011,12,Rob,Mansleezy,96.29,8,7-4-0,Loss,7-5-0,Jason,Clickety Clow,103.02,6,2-9-0,3-9-0
2011,12,Colin,Im a scientist,105.19,5,4-7-0,Win,5-7-0,nathan,ol-erth panda slayers,93.48,9,9-2-0,9-3-0
2011,13,AJ,Winning,117.66,3,2-10-0,Win,3-10-0,Kameron,Drunken Monkeys,107.62,7,6-6-0,6-7-0
2011,13,Matthew,Turf Muncher,98.4,8,5-7-0,Win,6-7-0,dan,DR Philthy,91.42,9,8-4-0,8-5-0
2011,13,Mike,CoachSezItNorml2BleedOutYaEars,112.66,5,7-5-0,Loss,7-6-0,Aaron,I Cursed AJ Crane,131.02,1,6-6-0,7-6-0
2011,13,Rob,Mansleezy,116.49,4,7-5-0,Loss,7-6-0,Mike,Mr Pig Skinner,124.03,2,6-6-0,7-6-0
2011,13,Colin,Im a scientist,76.81,12,5-7-0,Loss,5-8-0,Matt,Mongorians,78.25,11,8-4-0,9-4-0
2011,13,nathan,ol-erth panda slayers,90.46,10,9-3-0,Loss,9-4-0,Jason,Clickety Clow,110.08,6,3-9-0,4-9-0
2011,13,Kameron,Drunken Monkeys,107.62,7,6-6-0,Loss,6-7-0,AJ,Winning,117.66,3,2-10-0,3-10-0
2011,13,dan,DR Philthy,91.42,9,8-4-0,Loss,8-5-0,Matthew,Turf Muncher,98.4,8,5-7-0,6-7-0
2011,13,Aaron,I Cursed AJ Crane,131.02,1,6-6-0,Win,7-6-0,Mike,CoachSezItNorml2BleedOutYaEars,112.66,5,7-5-0,7-6-0
2011,13,Mike,Mr Pig Skinner,124.03,2,6-6-0,Win,7-6-0,Rob,Mansleezy,116.49,4,7-5-0,7-6-0
2011,13,Matt,Mongorians,78.25,11,8-4-0,Win,9-4-0,Colin,Im a scientist,76.81,12,5-7-0,5-8-0
2011,13,Jason,Clickety Clow,110.08,6,3-9-0,Win,4-9-0,nathan,ol-erth panda slayers,90.46,10,9-3-0,9-4-0
2011,14,Matthew,Turf Muncher,98.94,10,6-7-0,Win,7-7-0,AJ,Winning,80.64,12,3-10-0,3-11-0
2011,14,Kameron,Drunken Monkeys,121.71,3,6-7-0,Win,7-7-0,Mike,CoachSezItNorml2BleedOutYaEars,115.68,6,7-6-0,7-7-0
2011,14,dan,DR Philthy,105.85,7,8-5-0,Win,9-5-0,Rob,Mansleezy,83.41,11,7-6-0,7-7-0
2011,14,Aaron,I Cursed AJ Crane,140.88,1,7-6-0,Win,8-6-0,Colin,Im a scientist,102.4,8,5-8-0,5-9-0
2011,14,Mike,Mr Pig Skinner,138.43,2,7-6-0,Win,8-6-0,nathan,ol-erth panda slayers,100.64,9,9-4-0,9-5-0
2011,14,Matt,Mongorians,119.68,4,9-4-0,Win,10-4-0,Jason,Clickety Clow,119.35,5,4-9-0,4-10-0
2011,14,AJ,Winning,80.64,12,3-10-0,Loss,3-11-0,Matthew,Turf Muncher,98.94,10,6-7-0,7-7-0
2011,14,Mike,CoachSezItNorml2BleedOutYaEars,115.68,6,7-6-0,Loss,7-7-0,Kameron,Drunken Monkeys,121.71,3,6-7-0,7-7-0
2011,14,Rob,Mansleezy,83.41,11,7-6-0,Loss,7-7-0,dan,DR Philthy,105.85,7,8-5-0,9-5-0
2011,14,Colin,Im a scientist,102.4,8,5-8-0,Loss,5-9-0,Aaron,I Cursed AJ Crane,140.88,1,7-6-0,8-6-0
2011,14,nathan,ol-erth panda slayers,100.64,9,9-4-0,Loss,9-5-0,Mike,Mr Pig Skinner,138.43,2,7-6-0,8-6-0
2011,14,Jason,Clickety Clow,119.35,5,4-9-0,Loss,4-10-0,Matt,Mongorians,119.68,4,9-4-0,10-4-0
2011,15,Colin,Im a scientist,70.8,8,5-9-0,Loss,5-9-0,Jason,Clickety Clow,102.06,4,4-10-0,4-10-0
2011,15,Matthew,Turf Muncher,108.72,3,7-7-0,Loss,7-7-0,AJ,Winning,110.46,2,3-11-0,3-11-0
2011,15,Aaron,I Cursed AJ Crane,125.34,1,8-6-0,Win,8-6-0,Mike,Mr Pig Skinner,91.56,6,8-6-0,8-6-0
2011,15,dan,DR Philthy,101.54,5,9-5-0,Win,9-5-0,Mike,CoachSezItNorml2BleedOutYaEars,75.58,7,7-7-0,7-7-0
2011,15,Jason,Clickety Clow,102.06,4,4-10-0,Win,4-10-0,Colin,Im a scientist,70.8,8,5-9-0,5-9-0
2011,15,AJ,Winning,110.46,2,3-11-0,Win,3-11-0,Matthew,Turf Muncher,108.72,3,7-7-0,7-7-0
2011,15,Mike,Mr Pig Skinner,91.56,6,8-6-0,Loss,8-6-0,Aaron,I Cursed AJ Crane,125.34,1,8-6-0,8-6-0
2011,15,Mike,CoachSezItNorml2BleedOutYaEars,75.58,7,7-7-0,Loss,7-7-0,dan,DR Philthy,101.54,5,9-5-0,9-5-0
2011,16,Kameron,Drunken Monkeys,109.51,6,7-7-0,Loss,7-7-0,Jason,Clickety Clow,120.65,3,4-10-0,4-10-0
2011,16,AJ,Winning,122.7,1,3-11-0,Win,3-11-0,Rob,Mansleezy,122.51,2,7-7-0,7-7-0
2011,16,Matt,Mongorians,92.28,8,10-4-0,Loss,10-4-0,Aaron,I Cursed AJ Crane,119.82,4,8-6-0,8-6-0
2011,16,dan,DR Philthy,109.38,7,9-5-0,Loss,9-5-0,nathan,ol-erth panda slayers,115.52,5,9-5-0,9-5-0
2011,16,Jason,Clickety Clow,120.65,3,4-10-0,Win,4-10-0,Kameron,Drunken Monkeys,109.51,6,7-7-0,7-7-0
2011,16,Rob,Mansleezy,122.51,2,7-7-0,Loss,7-7-0,AJ,Winning,122.7,1,3-11-0,3-11-0
2011,16,Aaron,I Cursed AJ Crane,119.82,4,8-6-0,Win,8-6-0,Matt,Mongorians,92.28,8,10-4-0,10-4-0
2011,16,nathan,ol-erth panda slayers,115.52,5,9-5-0,Win,9-5-0,dan,DR Philthy,109.38,7,9-5-0,9-5-0
2011,17,Jason,Clickety Clow,113.1,5,4-10-0,Win,4-10-0,AJ,Winning,93.86,8,3-11-0,3-11-0
2011,17,Kameron,Drunken Monkeys,141.75,2,7-7-0,Win,7-7-0,Rob,Mansleezy,78.45,10,7-7-0,7-7-0
2011,17,Colin,Im a scientist,62.54,12,5-9-0,Loss,5-9-0,Matthew,Turf Muncher,67.66,11,7-7-0,7-7-0
2011,17,Aaron,I Cursed AJ Crane,207.4,1,8-6-0,Win,8-6-0,nathan,ol-erth panda slayers,102.72,6,9-5-0,9-5-0
2011,17,Matt,Mongorians,120.36,4,10-4-0,Loss,10-4-0,dan,DR Philthy,137.0,3,9-5-0,9-5-0
2011,17,Mike,Mr Pig Skinner,84.63,9,8-6-0,Loss,8-6-0,Mike,CoachSezItNorml2BleedOutYaEars,101.42,7,7-7-0,7-7-0
2011,17,AJ,Winning,93.86,8,3-11-0,Loss,3-11-0,Jason,Clickety Clow,113.1,5,4-10-0,4-10-0
2011,17,Rob,Mansleezy,78.45,10,7-7-0,Loss,7-7-0,Kameron,Drunken Monkeys,141.75,2,7-7-0,7-7-0
2011,17,Matthew,Turf Muncher,67.66,11,7-7-0,Win,7-7-0,Colin,Im a scientist,62.54,12,5-9-0,5-9-0
2011,17,nathan,ol-erth panda slayers,102.72,6,9-5-0,Loss,9-5-0,Aaron,I Cursed AJ Crane,207.4,1,8-6-0,8-6-0
2011,17,dan,DR Philthy,137.0,3,9-5-0,Win,9-5-0,Matt,Mongorians,120.36,4,10-4-0,10-4-0
2011,17,Mike,CoachSezItNorml2BleedOutYaEars,101.42,7,7-7-0,Win,7-7-0,Mike,Mr Pig Skinner,84.63,9,8-6-0,8-6-0
2012,1,AJ,Hunting Horwitz,94.3,10,0-0-0,Loss,0-1-0,dan,DR Philthy,105.32,5,0-0-0,1-0-0
2012,1,Kameron,Drunken Monkeys,102.01,8,0-0-0,Loss,0-1-0,Aaron,I Cursed AJ Crane,129.72,1,0-0-0,1-0-0
2012,1,Sam,Enemy at the Gates,119.76,2,0-0-0,Win,1-0-0,Matthew,Turf Muncher,104.24,6,0-0-0,0-1-0
2012,1,Mike,hahBEEEEEEHHbut,103.59,7,0-0-0,Loss,0-1-0,Matt,Mongorians,116.48,3,0-0-0,1-0-0
2012,1,Rob,Senor Manberto,77.39,12,0-0-0,Loss,0-1-0,Jason,Clickety Clow,99.97,9,0-0-0,1-0-0
2012,1,Colin,Im a scientist,81.86,11,0-0-0,Loss,0-1-0,nathan,ol-erth murph slayers,114.04,4,0-0-0,1-0-0
2012,1,dan,DR Philthy,105.32,5,0-0-0,Win,1-0-0,AJ,Hunting Horwitz,94.3,10,0-0-0,0-1-0
2012,1,Aaron,I Cursed AJ Crane,129.72,1,0-0-0,Win,1-0-0,Kameron,Drunken Monkeys,102.01,8,0-0-0,0-1-0
2012,1,Matthew,Turf Muncher,104.24,6,0-0-0,Loss,0-1-0,Sam,Enemy at the Gates,119.76,2,0-0-0,1-0-0
2012,1,Matt,Mongorians,116.48,3,0-0-0,Win,1-0-0,Mike,hahBEEEEEEHHbut,103.59,7,0-0-0,0-1-0
2012,1,Jason,Clickety Clow,99.97,9,0-0-0,Win,1-0-0,Rob,Senor Manberto,77.39,12,0-0-0,0-1-0
2012,1,nathan,ol-erth murph slayers,114.04,4,0-0-0,Win,1-0-0,Colin,Im a scientist,81.86,11,0-0-0,0-1-0
