teamOwner,teamName,teamTransactions,teamTrades,season,teamRank,teamRecord,teamWinPct,teamPointsFor,teamPointsAgainst
AJ ,Winning,23,0,2011,12,3-11-0,0.214,1464.54,1604.04
Rob,Mansleezy,18,2,2011,8,7-7-0,0.5,1398.45,1430.05
nathan,ol-erth panda slayers,25,0,2011,2,9-5-0,0.643,1474.95,1308.82
Matt,Mongorians,14,0,2011,1,10-4-0,0.714,1557.75,1456.04
Mike,CoachSezItNorml2BleedOutYaEars,9,0,2011,6,7-7-0,0.5,1486.94,1455.21
Kameron,Drunken Monkeys,25,0,2011,7,7-7-0,0.5,1460.26,1468.74
Aaron,I Cursed AJ Crane,19,0,2011,4,8-6-0,0.571,1531.71,1583.52
dan,DR Philthy,12,1,2011,3,9-5-0,0.643,1464.59,1285.88
Matthew,Turf Muncher,26,0,2011,9,7-7-0,0.5,1290.07,1306.68
Colin,Im a scientist,16,1,2011,10,5-9-0,0.357,1356.12,1440.96
Jason,Clickety Clow,35,0,2011,11,4-10-0,0.286,1270.72,1365.86
Mike,Mr Pig Skinner,27,0,2011,5,8-6-0,0.571,1368.75,1419.05
AJ ,Hunting Horwitz,14,0,2012,10,6-8-0,0.429,1424.27,1467.56
Sam,Enemy at the Gates,28,0,2012,2,10-4-0,0.714,1536.59,1403.5
Rob,Senor Manberto,17,0,2012,6,7-7-0,0.5,1441.71,1429.97
nathan,ol-erth murph slayers,30,0,2012,4,9-5-0,0.643,1496.52,1340.77
Matt,Mongorians,10,0,2012,1,11-3-0,0.786,1619.93,1404.9
Mike,hahBEEEEEEHHbut,13,0,2012,12,2-12-0,0.143,1197.14,1454.89
Kameron,Drunken Monkeys,24,0,2012,9,6-8-0,0.429,1403.98,1468.22
Aaron,I Cursed AJ Crane,9,0,2012,3,10-4-0,0.714,1468.12,1299.54
dan,DR Philthy,15,0,2012,8,6-8-0,0.429,1367.7,1532.05
Matthew,Turf Muncher,26,0,2012,5,7-7-0,0.5,1498.65,1449.24
Colin,Im a scientist,27,0,2012,7,6-8-0,0.429,1337.22,1443.16
Jason,Clickety Clow,15,0,2012,11,4-10-0,0.286,1223.95,1321.98
AJ ,Hunting Horwitz,24,0,2013,2,9-4-0,0.692,1330.37,1207.48
Sam,Gnarly Bush,28,0,2013,6,7-6-0,0.538,1305.4,1396.83
Rob,Senor Manberto,27,0,2013,7,7-6-0,0.538,1260.19,1341.74
Matt,Mongorians,7,0,2013,11,3-10-0,0.231,1212.6,1410.74
Mike,Donkey Punch,26,0,2013,8,6-7-0,0.462,1377.89,1424.21
Kameron,Drunken Monkeys,21,0,2013,10,5-8-0,0.385,1417.31,1385.85
Aaron,I Cursed AJ Crane,15,0,2013,12,3-10-0,0.231,1139.25,1406.99
dan,DR Philthy,11,0,2013,9,5-8-0,0.385,1420.2,1347.46
Matthew,Turf Muncher,22,0,2013,5,8-5-0,0.615,1303.63,1226.53
Colin,Im a scientist,15,0,2013,3,8-5-0,0.615,1481.34,1332.95
Mike,MrPigSkinner,41,0,2013,1,9-4-0,0.692,1443.41,1262.96
Brian,DoyouseewhathappensLarry,21,0,2013,4,8-5-0,0.615,1337.09,1284.94
AJ ,Dick Flickers,15,0,2014,2,9-4-0,0.692,1610.79,1317.01
Sam,Team A-Murray-ca World Police,22,0,2014,3,9-4-0,0.692,1407.96,1345.37
Rob,senor manberto,19,0,2014,9,5-8-0,0.385,1291.9,1316.87
Matt,Mongorians,7,0,2014,1,10-3-0,0.769,1486.76,1225.76
